question_id,method,recall@1,recall@5,recall@10,mrr,gold_in_candidates,first_gold_rank,latency_seconds
cyber_001,BM25,0,0,0,0.0,0,,0.025140000000000384
cyber_001,BM25+E5,0,0,0,0.0,0,,41.9747422
cyber_001,Oracle-MultiHop+E5,0,0,0,0.0,0,,13.263291099999996
cyber_002,BM25,0,0,0,0.0,0,,0.04838119999999435
cyber_002,BM25+E5,0,0,0,0.0,0,,97.4723037
cyber_002,Oracle-MultiHop+E5,0,0,0,0.0,0,,12.843904100000003
cyber_003,BM25,0,0,0,0.0,0,,0.027667600000000903
cyber_003,BM25+E5,0,0,0,0.0,0,,80.94523420000002
cyber_003,Oracle-MultiHop+E5,0,0,0,0.0,0,,8.278135300000002
cyber_004,BM25,0,0,0,0.0,0,,0.03385180000003629
cyber_004,BM25+E5,0,0,0,0.0,0,,81.93937720000002
cyber_004,Oracle-MultiHop+E5,0,0,0,0.0,0,,14.569122499999992
cyber_005,BM25,0,0,0,0.0,0,,0.02485669999998663
cyber_005,BM25+E5,0,0,0,0.0,0,,97.46394140000001
cyber_005,Oracle-MultiHop+E5,0,0,0,0.0,0,,24.557569399999977
cyber_006,BM25,0,0,0,0.0,0,,0.02486110000000963
cyber_006,BM25+E5,0,0,0,0.0,0,,112.15434509999994
cyber_006,Oracle-MultiHop+E5,0,0,0,0.0,0,,23.573736999999937
cyber_007,BM25,0,0,0,0.0,0,,0.07189600000003793
cyber_007,BM25+E5,0,0,0,0.0,0,,128.88216180000006
cyber_007,Oracle-MultiHop+E5,0,0,0,0.0,0,,12.702063700000053
cyber_008,BM25,0,0,0,0.0,0,,0.047407399999997324
cyber_008,BM25+E5,0,0,0,0.0,0,,124.01852459999998
cyber_008,Oracle-MultiHop+E5,0,0,0,0.0,0,,22.939890900000023
cyber_009,BM25,0,0,0,0.0,0,,0.05728999999996631
cyber_009,BM25+E5,0,0,0,0.0,0,,53.44728769999995
cyber_009,Oracle-MultiHop+E5,0,0,0,0.0,0,,8.018395399999918
cyber_010,BM25,0,0,0,0.0,0,,0.048279900000011367
cyber_010,BM25+E5,0,1,1,0.2,1,5,35.59315300000003
cyber_010,Oracle-MultiHop+E5,0,1,1,0.2,1,5,5.615310200000067
